CountyFIPS,DataCategory,DataType,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
075  ,DETAIL,ALLOCATION,WAECY,2017,33,Lower Snake,1,https://fortress.wa.gov/ecy
021  ,DETAIL,ALLOCATION,WAECY,2017,34,Palouse,1,https://fortress.wa.gov/ecy
063  ,DETAIL,ALLOCATION,WAECY,2017,34,Palouse,1,https://fortress.wa.gov/ecy
075  ,DETAIL,ALLOCATION,WAECY,2017,34,Palouse,1,https://fortress.wa.gov/ecy
003  ,DETAIL,ALLOCATION,WAECY,2017,35,Middle Snake,1,https://fortress.wa.gov/ecy
013  ,DETAIL,ALLOCATION,WAECY,2017,35,Middle Snake,1,https://fortress.wa.gov/ecy
063  ,DETAIL,ALLOCATION,WAECY,2017,35,Middle Snake,1,https://fortress.wa.gov/ecy
075  ,DETAIL,ALLOCATION,WAECY,2017,35,Middle Snake,1,https://fortress.wa.gov/ecy
001  ,DETAIL,ALLOCATION,WAECY,2017,36,Esquatzel Coulee,1,https://fortress.wa.gov/ecy
025  ,DETAIL,ALLOCATION,WAECY,2017,36,Esquatzel Coulee,1,https://fortress.wa.gov/ecy
005  ,DETAIL,ALLOCATION,WAECY,2017,37,Lower Yakima,1,https://fortress.wa.gov/ecy
037  ,DETAIL,ALLOCATION,WAECY,2017,37,Lower Yakima,1,https://fortress.wa.gov/ecy
039  ,DETAIL,ALLOCATION,WAECY,2017,37,Lower Yakima,1,https://fortress.wa.gov/ecy
047  ,DETAIL,ALLOCATION,WAECY,2017,37,Lower Yakima,1,https://fortress.wa.gov/ecy
,DETAIL,ALLOCATION,WAECY,2017,38,Naches,1,https://fortress.wa.gov/ecy
037  ,DETAIL,ALLOCATION,WAECY,2017,38,Naches,1,https://fortress.wa.gov/ecy
077  ,DETAIL,ALLOCATION,WAECY,2017,38,Naches,1,https://fortress.wa.gov/ecy
037  ,DETAIL,ALLOCATION,WAECY,2017,39,Upper Yakima,1,https://fortress.wa.gov/ecy
073  ,DETAIL,ALLOCATION,WAECY,2017,39,Upper Yakima,1,https://fortress.wa.gov/ecy
077  ,DETAIL,ALLOCATION,WAECY,2017,39,Upper Yakima,1,https://fortress.wa.gov/ecy
057  ,DETAIL,ALLOCATION,WAECY,2017,4,Upper Skagit,1,https://fortress.wa.gov/ecy
061  ,DETAIL,ALLOCATION,WAECY,2017,4,Upper Skagit,1,https://fortress.wa.gov/ecy
005  ,DETAIL,ALLOCATION,WAECY,2017,40,Alkali-Squilchuck,1,https://fortress.wa.gov/ecy
077  ,DETAIL,ALLOCATION,WAECY,2017,40,Alkali-Squilchuck,1,https://fortress.wa.gov/ecy
001  ,DETAIL,ALLOCATION,WAECY,2017,41,Lower Crab,1,https://fortress.wa.gov/ecy
017  ,DETAIL,ALLOCATION,WAECY,2017,41,Lower Crab,1,https://fortress.wa.gov/ecy
025  ,DETAIL,ALLOCATION,WAECY,2017,41,Lower Crab,1,https://fortress.wa.gov/ecy
043  ,DETAIL,ALLOCATION,WAECY,2017,41,Lower Crab,1,https://fortress.wa.gov/ecy
025  ,DETAIL,ALLOCATION,WAECY,2017,42,Grand Coulee,1,https://fortress.wa.gov/ecy
047  ,DETAIL,ALLOCATION,WAECY,2017,42,Grand Coulee,1,https://fortress.wa.gov/ecy
001  ,DETAIL,ALLOCATION,WAECY,2017,43,Upper Crab-Wilson,1,https://fortress.wa.gov/ecy
043  ,DETAIL,ALLOCATION,WAECY,2017,43,Upper Crab-Wilson,1,https://fortress.wa.gov/ecy
007  ,DETAIL,ALLOCATION,WAECY,2017,44,Moses Coulee,1,https://fortress.wa.gov/ecy
017  ,DETAIL,ALLOCATION,WAECY,2017,44,Moses Coulee,1,https://fortress.wa.gov/ecy
025  ,DETAIL,ALLOCATION,WAECY,2017,44,Moses Coulee,1,https://fortress.wa.gov/ecy
047  ,DETAIL,ALLOCATION,WAECY,2017,44,Moses Coulee,1,https://fortress.wa.gov/ecy
017  ,DETAIL,ALLOCATION,WAECY,2017,46,Entiat,1,https://fortress.wa.gov/ecy
007  ,DETAIL,ALLOCATION,WAECY,2017,47,Chelan,1,https://fortress.wa.gov/ecy
047  ,DETAIL,ALLOCATION,WAECY,2017,47,Chelan,1,https://fortress.wa.gov/ecy
017  ,DETAIL,ALLOCATION,WAECY,2017,49,Okanogan,1,https://fortress.wa.gov/ecy
037  ,DETAIL,ALLOCATION,WAECY,2017,49,Okanogan,1,https://fortress.wa.gov/ecy
057  ,DETAIL,ALLOCATION,WAECY,2017,5,Stillaguamish,1,https://fortress.wa.gov/ecy
061  ,DETAIL,ALLOCATION,WAECY,2017,5,Stillaguamish,1,https://fortress.wa.gov/ecy
017  ,DETAIL,ALLOCATION,WAECY,2017,50,Foster,1,https://fortress.wa.gov/ecy
025  ,DETAIL,ALLOCATION,WAECY,2017,50,Foster,1,https://fortress.wa.gov/ecy
019  ,DETAIL,ALLOCATION,WAECY,2017,51,Nespelem,1,https://fortress.wa.gov/ecy
001  ,DETAIL,ALLOCATION,WAECY,2017,52,Sanpoil,1,https://fortress.wa.gov/ecy
047  ,DETAIL,ALLOCATION,WAECY,2017,52,Sanpoil,1,https://fortress.wa.gov/ecy
019  ,DETAIL,ALLOCATION,WAECY,2017,53,Lower Lake Roosevelt,1,https://fortress.wa.gov/ecy
043  ,DETAIL,ALLOCATION,WAECY,2017,53,Lower Lake Roosevelt,1,https://fortress.wa.gov/ecy
063  ,DETAIL,ALLOCATION,WAECY,2017,54,Lower Spokane,1,https://fortress.wa.gov/ecy
065  ,DETAIL,ALLOCATION,WAECY,2017,54,Lower Spokane,1,https://fortress.wa.gov/ecy
043  ,DETAIL,ALLOCATION,WAECY,2017,55,Little Spokane,1,https://fortress.wa.gov/ecy
063  ,DETAIL,ALLOCATION,WAECY,2017,55,Little Spokane,1,https://fortress.wa.gov/ecy
075  ,DETAIL,ALLOCATION,WAECY,2017,56,Hangman,1,https://fortress.wa.gov/ecy
063  ,DETAIL,ALLOCATION,WAECY,2017,57,Middle Spokane,1,https://fortress.wa.gov/ecy
051  ,DETAIL,ALLOCATION,WAECY,2017,59,Colville,1,https://fortress.wa.gov/ecy
065  ,DETAIL,ALLOCATION,WAECY,2017,59,Colville,1,https://fortress.wa.gov/ecy
029  ,DETAIL,ALLOCATION,WAECY,2017,6,Island,1,https://fortress.wa.gov/ecy
035  ,DETAIL,ALLOCATION,WAECY,2017,6,Island,1,https://fortress.wa.gov/ecy
019  ,DETAIL,ALLOCATION,WAECY,2017,60,Kettle,1,https://fortress.wa.gov/ecy
065  ,DETAIL,ALLOCATION,WAECY,2017,60,Kettle,1,https://fortress.wa.gov/ecy
051  ,DETAIL,ALLOCATION,WAECY,2017,61,Upper Lake Roosevelt,1,https://fortress.wa.gov/ecy
065  ,DETAIL,ALLOCATION,WAECY,2017,61,Upper Lake Roosevelt,1,https://fortress.wa.gov/ecy
051  ,DETAIL,ALLOCATION,WAECY,2017,62,Pend Oreille,1,https://fortress.wa.gov/ecy
061  ,DETAIL,ALLOCATION,WAECY,2017,62,Pend Oreille,1,https://fortress.wa.gov/ecy
033  ,DETAIL,ALLOCATION,WAECY,2017,7,Snohomish,1,https://fortress.wa.gov/ecy
061  ,DETAIL,ALLOCATION,WAECY,2017,7,Snohomish,1,https://fortress.wa.gov/ecy
033  ,DETAIL,ALLOCATION,WAECY,2017,8,Cedar-Sammamish,1,https://fortress.wa.gov/ecy
075  ,DETAIL,ALLOCATION,WAECY,2017,8,Cedar-Sammamish,1,https://fortress.wa.gov/ecy
033  ,DETAIL,ALLOCATION,WAECY,2017,9,Duwamish-Green,1,https://fortress.wa.gov/ecy
009  ,DETAIL,ALLOCATION,WAECY,2017,37,Lower Yakima,1,https://fortress.wa.gov/ecy
077  ,DETAIL,ALLOCATION,WAECY,2017,37,Lower Yakima,1,https://fortress.wa.gov/ecy
073  ,DETAIL,ALLOCATION,WAECY,2017,4,Upper Skagit,1,https://fortress.wa.gov/ecy
007  ,DETAIL,ALLOCATION,WAECY,2017,40,Alkali-Squilchuck,1,https://fortress.wa.gov/ecy
017  ,DETAIL,ALLOCATION,WAECY,2017,40,Alkali-Squilchuck,1,https://fortress.wa.gov/ecy
037  ,DETAIL,ALLOCATION,WAECY,2017,40,Alkali-Squilchuck,1,https://fortress.wa.gov/ecy
047  ,DETAIL,ALLOCATION,WAECY,2017,40,Alkali-Squilchuck,1,https://fortress.wa.gov/ecy
005  ,DETAIL,ALLOCATION,WAECY,2017,41,Lower Crab,1,https://fortress.wa.gov/ecy
065  ,DETAIL,ALLOCATION,WAECY,2017,41,Lower Crab,1,https://fortress.wa.gov/ecy
017  ,DETAIL,ALLOCATION,WAECY,2017,42,Grand Coulee,1,https://fortress.wa.gov/ecy
043  ,DETAIL,ALLOCATION,WAECY,2017,42,Grand Coulee,1,https://fortress.wa.gov/ecy
025  ,DETAIL,ALLOCATION,WAECY,2017,43,Upper Crab-Wilson,1,https://fortress.wa.gov/ecy
063  ,DETAIL,ALLOCATION,WAECY,2017,43,Upper Crab-Wilson,1,https://fortress.wa.gov/ecy
071  ,DETAIL,ALLOCATION,WAECY,2017,43,Upper Crab-Wilson,1,https://fortress.wa.gov/ecy
007  ,DETAIL,ALLOCATION,WAECY,2017,45,Wenatchee,1,https://fortress.wa.gov/ecy
017  ,DETAIL,ALLOCATION,WAECY,2017,45,Wenatchee,1,https://fortress.wa.gov/ecy
007  ,DETAIL,ALLOCATION,WAECY,2017,46,Entiat,1,https://fortress.wa.gov/ecy
017  ,DETAIL,ALLOCATION,WAECY,2017,47,Chelan,1,https://fortress.wa.gov/ecy
047  ,DETAIL,ALLOCATION,WAECY,2017,48,Methow,1,https://fortress.wa.gov/ecy
047  ,DETAIL,ALLOCATION,WAECY,2017,49,Okanogan,1,https://fortress.wa.gov/ecy
029  ,DETAIL,ALLOCATION,WAECY,2017,5,Stillaguamish,1,https://fortress.wa.gov/ecy
007  ,DETAIL,ALLOCATION,WAECY,2017,50,Foster,1,https://fortress.wa.gov/ecy
033  ,DETAIL,ALLOCATION,WAECY,2017,50,Foster,1,https://fortress.wa.gov/ecy
047  ,DETAIL,ALLOCATION,WAECY,2017,50,Foster,1,https://fortress.wa.gov/ecy
047  ,DETAIL,ALLOCATION,WAECY,2017,51,Nespelem,1,https://fortress.wa.gov/ecy
019  ,DETAIL,ALLOCATION,WAECY,2017,52,Sanpoil,1,https://fortress.wa.gov/ecy
047  ,DETAIL,ALLOCATION,WAECY,2017,53,Lower Lake Roosevelt,1,https://fortress.wa.gov/ecy
063  ,DETAIL,ALLOCATION,WAECY,2017,53,Lower Lake Roosevelt,1,https://fortress.wa.gov/ecy
043  ,DETAIL,ALLOCATION,WAECY,2017,54,Lower Spokane,1,https://fortress.wa.gov/ecy
051  ,DETAIL,ALLOCATION,WAECY,2017,55,Little Spokane,1,https://fortress.wa.gov/ecy
065  ,DETAIL,ALLOCATION,WAECY,2017,55,Little Spokane,1,https://fortress.wa.gov/ecy
063  ,DETAIL,ALLOCATION,WAECY,2017,56,Hangman,1,https://fortress.wa.gov/ecy
051  ,DETAIL,ALLOCATION,WAECY,2017,57,Middle Spokane,1,https://fortress.wa.gov/ecy
019  ,DETAIL,ALLOCATION,WAECY,2017,58,Middle Lake Roosevelt,1,https://fortress.wa.gov/ecy
065  ,DETAIL,ALLOCATION,WAECY,2017,58,Middle Lake Roosevelt,1,https://fortress.wa.gov/ecy
063  ,DETAIL,ALLOCATION,WAECY,2017,59,Colville,1,https://fortress.wa.gov/ecy
061  ,DETAIL,ALLOCATION,WAECY,2017,6,Island,1,https://fortress.wa.gov/ecy
047  ,DETAIL,ALLOCATION,WAECY,2017,60,Kettle,1,https://fortress.wa.gov/ecy
065  ,DETAIL,ALLOCATION,WAECY,2017,62,Pend Oreille,1,https://fortress.wa.gov/ecy
061  ,DETAIL,ALLOCATION,WAECY,2017,8,Cedar-Sammamish,1,https://fortress.wa.gov/ecy
