CountyFIPS,DataCategory,DataType,HUC,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
49003,DETAIL,ALLOCATION,160203090603,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090604,,UTDWRT,2016,00-01-02,Park Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090204,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090205,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090206,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090305,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090306,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090307,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090308,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090309,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090310,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090401,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090402,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090403,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090404,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090405,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090406,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203090407,,UTDWRT,2016,00-01-03,Curlew Valley,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203070901,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080104,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203080106,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081605,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49003,DETAIL,ALLOCATION,160203081802,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061602,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061800,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203080104,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
