CountFIPS,DataCategory,DataType,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
35013,SUMMARY,USE,,NMOSE,2000,35013,Dona Ana,35,http://www.westernstateswater.org/NewMexico
35013,SUMMARY,USE,,NMOSE,1990,35013,Dona Ana,35,http://www.westernstateswater.org/NewMexico
35023,SUMMARY,USE,,NMOSE,2010,35023,Hidalgo,35,http://www.westernstateswater.org/NewMexico
35039,SUMMARY,USE,,NMOSE,1995,35039,Rio Arriba,35,http://www.westernstateswater.org/NewMexico
35045,SUMMARY,USE,,NMOSE,1995,35045,San Juan,35,http://www.westernstateswater.org/NewMexico
35057,SUMMARY,USE,,NMOSE,2010,35057,Torrance,35,http://www.westernstateswater.org/NewMexico
35037,SUMMARY,USE,,NMOSE,1995,35037,Quay,35,http://www.westernstateswater.org/NewMexico
35053,SUMMARY,USE,,NMOSE,1995,35053,Socorro,35,http://www.westernstateswater.org/NewMexico
35006,SUMMARY,USE,,NMOSE,1995,35006,Cibola,35,http://www.westernstateswater.org/NewMexico
35007,SUMMARY,USE,,NMOSE,2000,35007,Colfax,35,http://www.westernstateswater.org/NewMexico
35007,SUMMARY,USE,,NMOSE,1990,35007,Colfax,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2005,AWR,Arkansas-White-Red Region,35,http://www.westernstateswater.org/NewMexico
35043,SUMMARY,USE,,NMOSE,1990,35043,Sandoval,35,http://www.westernstateswater.org/NewMexico
35043,SUMMARY,USE,,NMOSE,2000,35043,Sandoval,35,http://www.westernstateswater.org/NewMexico
35011,SUMMARY,USE,,NMOSE,1990,35011,De Baca,35,http://www.westernstateswater.org/NewMexico
35011,SUMMARY,USE,,NMOSE,2000,35011,De Baca,35,http://www.westernstateswater.org/NewMexico
35019,SUMMARY,USE,,NMOSE,2005,35019,Guadalupe,35,http://www.westernstateswater.org/NewMexico
35015,SUMMARY,USE,,NMOSE,2005,35015,Eddy,35,http://www.westernstateswater.org/NewMexico
35047,SUMMARY,USE,,NMOSE,2010,35047,San Miguel,35,http://www.westernstateswater.org/NewMexico
35035,SUMMARY,USE,,NMOSE,2000,35035,Otero,35,http://www.westernstateswater.org/NewMexico
35035,SUMMARY,USE,,NMOSE,1990,35035,Otero,35,http://www.westernstateswater.org/NewMexico
35001,SUMMARY,USE,,NMOSE,2010,35001,Bernalillo,35,http://www.westernstateswater.org/NewMexico
35039,SUMMARY,USE,,NMOSE,2000,35039,Rio Arriba,35,http://www.westernstateswater.org/NewMexico
35039,SUMMARY,USE,,NMOSE,1990,35039,Rio Arriba,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2010,TG,Texas-Gulf Region,35,http://www.westernstateswater.org/NewMexico
35009,SUMMARY,USE,,NMOSE,2010,35009,Curry,35,http://www.westernstateswater.org/NewMexico
35013,SUMMARY,USE,,NMOSE,1995,35013,Dona Ana,35,http://www.westernstateswater.org/NewMexico
35045,SUMMARY,USE,,NMOSE,1990,35045,San Juan,35,http://www.westernstateswater.org/NewMexico
35045,SUMMARY,USE,,NMOSE,2000,35045,San Juan,35,http://www.westernstateswater.org/NewMexico
35041,SUMMARY,USE,,NMOSE,2005,35041,Roosevelt,35,http://www.westernstateswater.org/NewMexico
35031,SUMMARY,USE,,NMOSE,2005,35031,McKinley,35,http://www.westernstateswater.org/NewMexico
35006,SUMMARY,USE,,NMOSE,1990,35006,Cibola,35,http://www.westernstateswater.org/NewMexico
35006,SUMMARY,USE,,NMOSE,2000,35006,Cibola,35,http://www.westernstateswater.org/NewMexico
35049,SUMMARY,USE,,NMOSE,2010,35049,Santa Fe,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2005,P,Pecos Region,35,http://www.westernstateswater.org/NewMexico
35007,SUMMARY,USE,,NMOSE,1995,35007,Colfax,35,http://www.westernstateswater.org/NewMexico
35053,SUMMARY,USE,,NMOSE,2000,35053,Socorro,35,http://www.westernstateswater.org/NewMexico
