DataCategory,DataType,HUC,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
DETAIL,ALLOCATION,10130102,DENR,2015,10130102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2007,09020105,Western Wild Rice,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170203,DENR,2013,10170203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2007,10150003,Upper Niobrara,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110201,DENR,2014,10110201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120107,DENR,2007,10120107,Beaver,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140202,DENR,2013,10140202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140201,DENR,2011,10140201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120106,DENR,2013,10120106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140101,DENR,2012,10140101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2008,09020101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130102,DENR,2016,10130102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140104,DENR,2013,10140104,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130102,DENR,2017,10130102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170101,DENR,2012,10170101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2008,10170102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150006,DENR,2012,10150006,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2016,10150003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120107,DENR,2017,10120107,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120202,DENR,2009,10120202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120107,DENR,2016,10120107,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2017,10150003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150001,DENR,2011,10150001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140105,DENR,2009,10140105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120110,DENR,2010,10120110,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140103,DENR,2014,10140103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2017,09020105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2016,09020105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120112,DENR,2010,10120112,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120108,DENR,2011,10120108,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130102,DENR,2007,10130102,Upper Lake Oahe,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2015,09020105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2015,10150003,,45,http://www.westernstateswater.org/SouthDakota
